producer_key,producer,purchase_class,fy,kwh,bdt,audited_column,source_doc
bangladesh india friendship power company ltd 1320mw,Bangladsh India Friendship Power Company (Pvt.) Ltd. 1320MW,ipp,FY2023-24,2811554199.0,42982734639.0,,BPDB 2024-25.pdf
bangladesh india friendship power company ltd 1320mw,Bangladsh India Friendship Power Company (Pvt.) Ltd. 1320MW,ipp,FY2024-25,5033610920.0,63511941069.0,Y,BPDB 2024-25.pdf
baraka patenga power ltd,Baraka Patenga Power Limited,ipp,FY2019-20,133215792.0,1738349397.0,,BPDB 2020-21.pdf
baraka patenga power ltd,Baraka Patenga Power Limited,ipp,FY2020-21,198921600.0,2363521802.0,Y,BPDB 2020-21.pdf
baraka patenga power ltd,Baraka Patenga Power Limited,ipp,FY2021-22,232871760.0,3620246651.0,,BPDB 2022-23.pdf
baraka patenga power ltd,Baraka Patenga Power Limited,ipp,FY2022-23,186282624.0,3547873329.0,Y,BPDB 2022-23.pdf
baraka patenga power ltd,Baraka Patenga Power Limited,ipp,FY2023-24,81470976.0,2028222850.0,Y,BPDC 2023-24.pdf
baraka patenga power ltd,Baraka Patenga Power Limited,ipp,FY2024-25,69889728.0,2027298901.0,Y,BPDB 2024-25.pdf
baraka power co. ltd,Baraka Power Co. Ltd.,rental,FY2021-22,349663734.0,1120522242.0,,BPDB 2022-23.pdf
baraka power co. ltd,Baraka Power Co. Ltd.,rental,FY2022-23,243066276.0,1402047454.0,Y,BPDB 2022-23.pdf
baraka power co. ltd,Baraka Power Co. Ltd.,rental,FY2023-24,301789638.0,2070107819.0,Y,BPDC 2023-24.pdf
baraka power co. ltd,Baraka Power Co. Ltd.,rental,FY2024-25,30277212.0,332993538.0,Y,BPDB 2024-25.pdf
baraka shikalbaha power ltd (105mw),Baraka Shikalbaha Power Ltd. (105MW),ipp,FY2019-20,99169409.0,2184396966.0,,BPDB 2020-21.pdf
baraka shikalbaha power ltd (105mw),Baraka Shikalbaha Power Ltd. (105MW),ipp,FY2020-21,159651421.0,2774600010.0,Y,BPDB 2020-21.pdf
baraka shikalbaha power ltd (105mw),Baraka Shikalbaha Power Ltd. (105MW),ipp,FY2021-22,610898228.0,9816459440.0,,BPDB 2022-23.pdf
baraka shikalbaha power ltd (105mw),Baraka Shikalbaha Power Ltd. (105MW),ipp,FY2022-23,454346839.0,8325453923.0,Y,BPDB 2022-23.pdf
baraka shikalbaha power ltd (105mw),Baraka Shikalbaha Power Ltd. (105MW),ipp,FY2023-24,199870107.0,5313189953.0,Y,BPDC 2023-24.pdf
baraka shikalbaha power ltd (105mw),Baraka Shikalbaha Power Ltd. (105MW),ipp,FY2024-25,191317077.0,5479075601.0,Y,BPDB 2024-25.pdf
barisal electric power company ltd,Barisal Electric Power Company Ltd.,ipp,FY2022-23,604148910.0,11486275016.0,,BPDC 2023-24.pdf
barisal electric power company ltd,Barisal Electric Power Company Ltd.,ipp,FY2023-24,1250109917.0,15612924229.0,Y,BPDC 2023-24.pdf
barisal electric power company ltd,Barisal Electric Power Company Ltd.,ipp,FY2024-25,1861828704.0,24984280055.0,Y,BPDB 2024-25.pdf
barkatullah electro dynamics ltd,BARKATULLAH ELECTRO DYNAMICS LTD.,rental,FY2019-20,284768958.0,952112505.0,,BPDB 2020-21.pdf
barkatullah electro dynamics ltd,BARKATULLAH ELECTRO DYNAMICS LTD.,rental,FY2020-21,353071710.0,1101899564.0,Y,BPDB 2020-21.pdf
bhairab power ltd (54.50mw),Bhairab Power Limited (54.50MW),ipp,FY2021-22,198278640.0,3361477855.0,,BPDB 2022-23.pdf
bhairab power ltd (54.50mw),Bhairab Power Limited (54.50MW),ipp,FY2022-23,208651680.0,4199821774.0,Y,BPDB 2022-23.pdf
bhairab power ltd (54.50mw),Bhairab Power Limited (54.50MW),ipp,FY2023-24,133941600.0,3309421466.0,Y,BPDC 2023-24.pdf
bhairab power ltd (54.50mw),Bhairab Power Limited (54.50MW),ipp,FY2024-25,92991150.0,2715879017.0,Y,BPDB 2024-25.pdf
bpdb rpcl power gen ltd,BPDB RPCL Power Gen Ltd.,ipp,FY2022-23,426410813.0,10857191501.0,,BPDC 2023-24.pdf
bpdb rpcl power gen ltd,BPDB RPCL Power Gen Ltd.,ipp,FY2023-24,363875770.0,9779698515.0,Y,BPDC 2023-24.pdf
bpdb rpcl power gen ltd,BPDB RPCL Power Gen Ltd.,ipp,FY2024-25,452134660.0,11878583013.0,Y,BPDB 2024-25.pdf
bpdb rpcl powergen ltd,BPDB RPCL PowerGen Ltd.,public,FY2019-20,175337452.0,4032187505.0,,BPDB 2020-21.pdf
bpdb rpcl powergen ltd,BPDB RPCL PowerGen Ltd.,public,FY2020-21,387788703.0,5857190239.0,Y,BPDB 2020-21.pdf
chandpur power generation lttd. (115mw),Chandpur Power Generation Lttd. (115MW),ipp,FY2021-22,205345603.0,3713184400.0,,BPDB 2022-23.pdf
chandpur power generation lttd. (115mw),Chandpur Power Generation Lttd. (115MW),ipp,FY2022-23,466547078.0,8428801830.0,Y,BPDB 2022-23.pdf
chandpur power generation lttd. (115mw),Chandpur Power Generation Lttd. (115MW),ipp,FY2023-24,307196160.0,6788832090.0,Y,BPDC 2023-24.pdf
chandpur power generation lttd. (115mw),Chandpur Power Generation Lttd. (115MW),ipp,FY2024-25,388864608.0,8447987923.0,Y,BPDB 2024-25.pdf
coal power generation company bangladesh ltd,Coal Power Generation Company Bangladesh Limited,ipp,FY2022-23,0.0,0.0,,BPDC 2023-24.pdf
