plant_id,plant_name,location,capacity_mw,fuel,fuel_raw,ownership_class,owning_entity,sponsor,commissioning_date,date_precision,commissioning_note,source_doc
bd-meghnaghat-335-mw-ccpp-2nd-unit-st-unit-2015,Meghnaghat 335 MW CCPP (2nd Unit) : ST Unit,Meghnaghat,102.0,gas_hsd_dual,Gas/HSD,ipp,,,2015-06-01,day,,bpdb_ar2019_20_commissioning
bd-bibiyana-ii-341-mw-ccpp-summit-gt-unit-2015,Bibiyana-(II) 341 MW CCPP (Summit): GT Unit,Bibiyana-,222.0,gas,Gas,ipp,,,2015-06-06,day,,bpdb_ar2019_20_commissioning
bd-bibiyana-ii-341-mw-ccpp-summit-st-unit-2015,Bibiyana-(II) 341 MW CCPP (Summit): ST Unit,Bibiyana-,119.0,gas,Gas,ipp,,,2015-12-26,day,,bpdb_ar2019_20_commissioning
bd-up-gradation-of-khulna-150-mw-to-225-mw-2016,Up gradation of Khulna 150 MW to 225 MW,Up,72.0,gas_hsd_dual,Gas/HSD,public,NWPGCL,,2016-06-28,day,,bpdb_ar2019_20_commissioning
bd-ashuganj-south-450-mw-ccpp-2016,Ashuganj (South) 450 MW CCPP,Ashuganj,373.0,gas,Gas,public,APSCL,,2016-07-22,day,,bpdb_ar2019_20_commissioning
bd-shahjibazar-ccpp-2016,Shahjibazar CCPP,Shahjibazar,330.0,gas,Gas,public,BPDB,,2016-08-20,day,"GT: 20 August, 2016; ST: 20 December, 2016",bpdb_ar2019_20_commissioning
bd-madangonj-55-mw-peaking-plant-summit-power-2016,Madangonj 55 MW Peaking Plant (Summit Power),Madangonj,55.0,hfo,FO,ipp,Summit Power,Summit Power,2016-02-29,day,,bpdb_ar2019_20_commissioning
bd-barishal-110-mw-pp-summit-power-2016,Barishal 110 MW PP (Summit Power),Barishal,110.0,hfo,FO,ipp,Summit Power,Summit Power,2016-04-05,day,,bpdb_ar2019_20_commissioning
bd-nababganj-55-mw-pp-2016,Nababganj 55 MW PP,Nababganj,55.0,hfo,FO,ipp,,,2016-06-17,day,,bpdb_ar2019_20_commissioning
bd-manikganj-55-mw-pp-2016,Manikganj 55 MW PP,Manikganj,55.0,hfo,FO,ipp,,,2016-08-17,day,,bpdb_ar2019_20_commissioning
bd-jamalpur-95-mw-pp-2016,Jamalpur 95 MW PP,Jamalpur,95.0,gas_hfo_dual,Gas/FO,ipp,,,2016-11-29,day,,bpdb_ar2019_20_commissioning
bd-bheramara-360-mw-ccpp-2017,Bheramara 360 MW CCPP,Bheramara,278.0,gas_hsd_dual,Gas/HSD,public,NWPGCL,,2017-05-09,day,"GT: 9 May, 2017",bpdb_ar2019_20_commissioning
bd-ashuganj-450-mw-ccpp-south-2017,Ashuganj 450 MW CCPP (South),Ashuganj,360.0,gas,Gas,public,APSCL,,2017-06-11,day,,bpdb_ar2019_20_commissioning
