fy,producer,purchase_class,kwh_cy,kwh_py,bdt_cy,bdt_py,bdt_per_kwh_cy,zero_generation_payment,source_doc
FY2022-23,APSCL (450 MW) North,public,2196407090.0,2017615091.0,9188887471.0,5960985814.0,4.1836,,BPDB 2022-23.pdf
FY2022-23,"APSCL (400 MW) East 1,178,943,416 4,849,965,131",public,0.0,0.0,0.0,0.0,,,BPDB 2022-23.pdf
FY2022-23,EGCB Ltd.(210X2)MW,public,303186086.0,116096664.0,3038793298.0,1631192273.0,10.0229,,BPDB 2022-23.pdf
FY2022-23,EGCB Ltd.(412)MW,public,2932454664.0,1981733402.0,8805577919.0,4954975092.0,3.0028,,BPDB 2022-23.pdf
FY2022-23,EGCB Ltd.(360)MW,public,889535033.0,1419204804.0,6078360206.0,5958406989.0,6.8332,,BPDB 2022-23.pdf
FY2022-23,North West Power Gen (NWPGCL)- Sirajgonj,public,1167024579.0,224720935.0,5421296044.0,2148277482.0,4.6454,,BPDB 2022-23.pdf
FY2022-23,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 2),public,624834999.0,1008745563.0,16240673723.0,7522171723.0,25.9919,,BPDB 2022-23.pdf
FY2022-23,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 3),public,841358086.0,1220422550.0,6514710574.0,4748113291.0,7.7431,,BPDB 2022-23.pdf
FY2022-23,North West Power Gen (NWPGCL)- Khulna,public,445957222.0,437277714.0,14629459265.0,11138939273.0,32.8046,,BPDB 2022-23.pdf
FY2022-23,North West Power Gen (NWPGCL)- Bheramara,public,1346245287.0,1966292933.0,7836412600.0,6934357044.0,5.8209,,BPDB 2022-23.pdf
FY2022-23,North West Power Gen (NWPGCL)- Madhumati,public,259720704.0,98005392.0,6108671422.0,2787875557.0,23.5202,,BPDB 2022-23.pdf
FY2022-23,North West Power Gen (NWPGCL)- 6.55MW Solar PV,public,10078954.0,9725161.0,140348768.0,136863059.0,13.9249,,BPDB 2022-23.pdf
FY2022-23,NVVN Ltd. - India 250 MW,india,1801735428.0,1793326113.0,7606355362.0,5794486872.0,4.2217,,BPDB 2022-23.pdf
FY2022-23,NVVN Ltd. - India 160 MW (Tripura),india,1073872152.0,941241612.0,9075956561.0,7484684395.0,8.4516,,BPDB 2022-23.pdf
FY2022-23,NVVN Ltd. - India 300 MW,india,2515788750.0,2548677500.0,17995693025.0,15199300879.0,7.1531,,BPDB 2022-23.pdf
FY2022-23,"Power Grid Corporation of India - 250MW - 1,404,138,832",india,0.0,0.0,886126987.0,0.0,,Y,BPDB 2022-23.pdf
FY2022-23,"Power Grid Corporation of India - 160MW - 178,806,221",india,0.0,0.0,140021274.0,0.0,,Y,BPDB 2022-23.pdf
FY2022-23,PTC India Ltd. 200 MW,india,1686911076.0,454768420.0,15264635952.0,3388272957.0,9.0489,,BPDB 2022-23.pdf
FY2022-23,Sembcrop Energy India Ltd. 250MW,india,1839003978.0,1906341720.0,18294412374.0,13839173137.0,9.948,,BPDB 2022-23.pdf
FY2022-23,Total Import,india,10515468206.0,7644355365.0,92234115635.0,46732066500.0,8.7713,,BPDB 2022-23.pdf
FY2022-23,"2 Wind Base Power Station, Sonagazi 900KW 1 0% - - - 40,040 -",india,3595171.0,0.0,3635211.0,0.0,1.0111,,BPDB 2022-23.pdf
FY2022-23,"4 Wind Base Power Station, Sirajgonj 2 MW 2 0% (25,317) - - - -",india,14940497.0,0.0,14939888.0,0.0,1.0,,BPDB 2022-23.pdf
FY2022-23,"7 Ghorashal Power Station (Unit 1&2) 110 0% - - - 59,818,626 -",india,1639179496.0,0.0,1698998122.0,0.0,1.0365,,BPDB 2022-23.pdf
FY2022-23,"8 Ghorashal Power Station (Unit 3) 260 0% (862,500) - - 12,827,868 -",india,4184007608.0,0.0,4196835476.0,0.0,1.0031,,BPDB 2022-23.pdf
FY2022-23,"13 Shikalbaha Power Station (Dual Fuel) 150 0% (946,612) - - 29,449,649 -",india,566334055.0,0.0,595783703.0,0.0,1.052,,BPDB 2022-23.pdf
FY2022-23,"19 Siddirgonj Power Station 115 0% (634,281) - - 20,293,127 -",india,1143023591.0,0.0,1163316717.0,0.0,1.0178,,BPDB 2022-23.pdf
FY2022-23,"22 Shahjibazar 330 CCPP 330 0% (971,772) 793,136 229,219,097 -",india,4050734120.0,0.0,4280746353.0,0.0,1.0568,,BPDB 2022-23.pdf
FY2022-23,"24 Shahjibazar 100 P/S 100 0% (996,402) - - 11,301,382 -",india,566887019.0,0.0,578188401.0,0.0,1.0199,,BPDB 2022-23.pdf
FY2022-23,"39 Bheramara Power Station - (73,609) 111,924 - 551,754 -",india,200352040.0,0.0,201015718.0,0.0,1.0033,,BPDB 2022-23.pdf
FY2022-23,"40 Barishal Gas Turbine Power Station - (178,607) - - 3,358,266 -",india,78157892.0,0.0,81516158.0,0.0,1.043,,BPDB 2022-23.pdf
FY2022-23,"44 Kutubdia Diesel Generator - - 20,016,904 - 2,154,311 -",india,27788079.0,0.0,49959294.0,0.0,1.7979,,BPDB 2022-23.pdf
FY2022-23,"45 Sandip Diesel Generator - - - - 4,355,468 -",india,12736.0,0.0,4368204.0,0.0,342.9808,,BPDB 2022-23.pdf
FY2022-23,47 Shikalbaha Power Station (Dual Fuel) - - - - - -,india,172791268.0,0.0,172791268.0,0.0,1.0,,BPDB 2022-23.pdf
FY2022-23,"50 DGD, Dhaka - - 1,163,080 - 993,270 -",india,54019708.0,0.0,56176058.0,0.0,1.0399,,BPDB 2022-23.pdf
FY2022-23,"51 SBU Haripur 20 0% (279,851) - - - 0.02",india,250948130.0,0.0,250941401.0,0.0,1.0,,BPDB 2022-23.pdf
